	CG	CHG	CHH	bincount	bincount	bincount
i2_9	0.03446518423173791	0.03446518423173791	0.03446518423173791	3223.0	3223.0	3223.0
i2_10	0.03542641292800512	0.03542641292800512	0.03542641292800512	3245.0	3245.0	3245.0
i2_11	0.035709870785511605	0.035709870785511605	0.035709870785511605	3183.0	3183.0	3183.0
i2_12	0.033977466914166594	0.033977466914166594	0.033977466914166594	3266.0	3266.0	3266.0
i2_13	0.034522684025691856	0.034522684025691856	0.034522684025691856	3198.0	3198.0	3198.0
i2_14	0.03406972602486024	0.03406972602486024	0.03406972602486024	3147.0	3147.0	3147.0
i2_15	0.034016239794670645	0.034016239794670645	0.034016239794670645	3204.0	3204.0	3204.0
i2_16	0.034911772328062134	0.034911772328062134	0.034911772328062134	3199.0	3199.0	3199.0
i2_17	0.03305267982733553	0.03305267982733553	0.03305267982733553	3199.0	3199.0	3199.0
i2_18	0.031601593136647045	0.031601593136647045	0.031601593136647045	3261.0	3261.0	3261.0
i2_19	0.030643429915850232	0.030643429915850232	0.030643429915850232	3342.0	3342.0	3342.0
i2_20	0.03510790171684258	0.03510790171684258	0.03510790171684258	3501.0	3501.0	3501.0
e3_1	0.06790609249183463	0.06790609249183463	0.06790609249183463	5186.0	5186.0	5186.0
e3_2	0.06462398470872628	0.06462398470872628	0.06462398470872628	4921.0	4921.0	4921.0
e3_3	0.06577055761091118	0.06577055761091118	0.06577055761091118	4999.0	4999.0	4999.0
e3_4	0.06901923917976768	0.06901923917976768	0.06901923917976768	5023.0	5023.0	5023.0
e3_5	0.0646841096252042	0.0646841096252042	0.0646841096252042	5016.0	5016.0	5016.0
e3_6	0.06452217018548422	0.06452217018548422	0.06452217018548422	4936.0	4936.0	4936.0
e3_7	0.061031172042845035	0.061031172042845035	0.061031172042845035	4982.0	4982.0	4982.0
e3_8	0.05754327106104954	0.05754327106104954	0.05754327106104954	4905.0	4905.0	4905.0
e3_9	0.057989293147689	0.057989293147689	0.057989293147689	4945.0	4945.0	4945.0
e3_10	0.05584311358309508	0.05584311358309508	0.05584311358309508	4818.0	4818.0	4818.0
e3_11	0.054270491062977454	0.054270491062977454	0.054270491062977454	4902.0	4902.0	4902.0
e3_12	0.05198941614441971	0.05198941614441971	0.05198941614441971	4859.0	4859.0	4859.0
e3_13	0.05103804390749898	0.05103804390749898	0.05103804390749898	4807.0	4807.0	4807.0
e3_14	0.0509396914331418	0.0509396914331418	0.0509396914331418	4759.0	4759.0	4759.0
e3_15	0.04631853476022171	0.04631853476022171	0.04631853476022171	4762.0	4762.0	4762.0
e3_16	0.04681800551961399	0.04681800551961399	0.04681800551961399	4855.0	4855.0	4855.0
e3_17	0.04592477585522955	0.04592477585522955	0.04592477585522955	4841.0	4841.0	4841.0
e3_18	0.04338758649525466	0.04338758649525466	0.04338758649525466	4698.0	4698.0	4698.0
e3_19	0.043685189469220176	0.043685189469220176	0.043685189469220176	4589.0	4589.0	4589.0
e3_20	0.040634332743954296	0.040634332743954296	0.040634332743954296	5110.0	5110.0	5110.0
i3_1	0.039133497467902296	0.039133497467902296	0.039133497467902296	3616.0	3616.0	3616.0
i3_2	0.028971990986647465	0.028971990986647465	0.028971990986647465	2889.0	2889.0	2889.0
i3_3	0.028172640183811246	0.028172640183811246	0.028172640183811246	2824.0	2824.0	2824.0
i3_4	0.02838672078003971	0.02838672078003971	0.02838672078003971	2750.0	2750.0	2750.0
i3_5	0.0254996362023	0.0254996362023	0.0254996362023	2732.0	2732.0	2732.0
i3_6	0.026429691796712073	0.026429691796712073	0.026429691796712073	2712.0	2712.0	2712.0
i3_7	0.028687436623388185	0.028687436623388185	0.028687436623388185	2673.0	2673.0	2673.0
i3_8	0.02811579265085129	0.02811579265085129	0.02811579265085129	2614.0	2614.0	2614.0
i3_9	0.026357625623828606	0.026357625623828606	0.026357625623828606	2689.0	2689.0	2689.0
i3_10	0.027379098250779662	0.027379098250779662	0.027379098250779662	2662.0	2662.0	2662.0
i3_11	0.025800118282584605	0.025800118282584605	0.025800118282584605	2642.0	2642.0	2642.0
i3_12	0.028535231492838122	0.028535231492838122	0.028535231492838122	2624.0	2624.0	2624.0
i3_13	0.02526670750808514	0.02526670750808514	0.02526670750808514	2561.0	2561.0	2561.0
i3_14	0.02382780962354665	0.02382780962354665	0.02382780962354665	2537.0	2537.0	2537.0
i3_15	0.022029822848467828	0.022029822848467828	0.022029822848467828	2601.0	2601.0	2601.0
i3_16	0.024597832772811964	0.024597832772811964	0.024597832772811964	2650.0	2650.0	2650.0
i3_17	0.022568373604440348	0.022568373604440348	0.022568373604440348	2704.0	2704.0	2704.0
i3_18	0.02186108947335888	0.02186108947335888	0.02186108947335888	2683.0	2683.0	2683.0
i3_19	0.02123553146791444	0.02123553146791444	0.02123553146791444	2747.0	2747.0	2747.0
i3_20	0.02486039952884018	0.02486039952884018	0.02486039952884018	2978.0	2978.0	2978.0
e4_1	0.03851979732358229	0.03851979732358229	0.03851979732358229	4797.0	4797.0	4797.0
e4_2	0.03648534223190412	0.03648534223190412	0.03648534223190412	4504.0	4504.0	4504.0
e4_3	0.03627230015698357	0.03627230015698357	0.03627230015698357	4503.0	4503.0	4503.0
e4_4	0.03328827082555569	0.03328827082555569	0.03328827082555569	4535.0	4535.0	4535.0
e4_5	0.034531639040592456	0.034531639040592456	0.034531639040592456	4585.0	4585.0	4585.0
e4_6	0.03126866104436645	0.03126866104436645	0.03126866104436645	4525.0	4525.0	4525.0
e4_7	0.03011929982493295	0.03011929982493295	0.03011929982493295	4641.0	4641.0	4641.0
e4_8	0.02982437370830465	0.02982437370830465	0.02982437370830465	4553.0	4553.0	4553.0
e4_9	0.031745521114710976	0.031745521114710976	0.031745521114710976	4491.0	4491.0	4491.0
e4_10	0.02877724649269517	0.02877724649269517	0.02877724649269517	4455.0	4455.0	4455.0
e4_11	0.028281425291605128	0.028281425291605128	0.028281425291605128	4383.0	4383.0	4383.0
e4_12	0.024820056768021986	0.024820056768021986	0.024820056768021986	4362.0	4362.0	4362.0
e4_13	0.025583839672485974	0.025583839672485974	0.025583839672485974	4485.0	4485.0	4485.0
e4_14	0.024521483150145965	0.024521483150145965	0.024521483150145965	4340.0	4340.0	4340.0
e4_15	0.024523366272682152	0.024523366272682152	0.024523366272682152	4395.0	4395.0	4395.0
e4_16	0.021601907294216675	0.021601907294216675	0.021601907294216675	4351.0	4351.0	4351.0
e4_17	0.020842329319110724	0.020842329319110724	0.020842329319110724	4251.0	4251.0	4251.0
e4_18	0.020686005637976807	0.020686005637976807	0.020686005637976807	4143.0	4143.0	4143.0
e4_19	0.019065964789020836	0.019065964789020836	0.019065964789020836	4078.0	4078.0	4078.0
e4_20	0.020408542087197383	0.020408542087197383	0.020408542087197383	4465.0	4465.0	4465.0
iN_1	0.011247683345465763	0.011247683345465763	0.011247683345465763	5422.0	5422.0	5422.0
iN_2	0.009648910456741785	0.009648910456741785	0.009648910456741785	4938.0	4938.0	4938.0
iN_3	0.009678015379554221	0.009678015379554221	0.009678015379554221	4792.0	4792.0	4792.0
iN_4	0.009380077290664786	0.009380077290664786	0.009380077290664786	4724.0	4724.0	4724.0
iN_5	0.009515296850733697	0.009515296850733697	0.009515296850733697	4694.0	4694.0	4694.0
iN_6	0.009838224223403625	0.009838224223403625	0.009838224223403625	4658.0	4658.0	4658.0
iN_7	0.009666741989244425	0.009666741989244425	0.009666741989244425	4685.0	4685.0	4685.0
iN_8	0.009356495284970673	0.009356495284970673	0.009356495284970673	4599.0	4599.0	4599.0
iN_9	0.009651507137517489	0.009651507137517489	0.009651507137517489	4591.0	4591.0	4591.0
iN_10	0.00953687953706711	0.00953687953706711	0.00953687953706711	4628.0	4628.0	4628.0
iN_11	0.009447492136426662	0.009447492136426662	0.009447492136426662	4654.0	4654.0	4654.0
iN_12	0.0093384992562213	0.0093384992562213	0.0093384992562213	4648.0	4648.0	4648.0
iN_13	0.008702823987057677	0.008702823987057677	0.008702823987057677	4609.0	4609.0	4609.0
iN_14	0.008387701679278412	0.008387701679278412	0.008387701679278412	4595.0	4595.0	4595.0
iN_15	0.00830935795264093	0.00830935795264093	0.00830935795264093	4515.0	4515.0	4515.0
iN_16	0.008162023297575208	0.008162023297575208	0.008162023297575208	4601.0	4601.0	4601.0
iN_17	0.008268555432707624	0.008268555432707624	0.008268555432707624	4631.0	4631.0	4631.0
iN_18	0.008443493891244568	0.008443493891244568	0.008443493891244568	4628.0	4628.0	4628.0
iN_19	0.007962011185790391	0.007962011185790391	0.007962011185790391	4701.0	4701.0	4701.0
iN_20	0.0088564816516071	0.0088564816516071	0.0088564816516071	4703.0	4703.0	4703.0
eN_1	0.010073080471164998	0.010073080471164998	0.010073080471164998	6559.0	6559.0	6559.0
eN_2	0.009599539037537897	0.009599539037537897	0.009599539037537897	6491.0	6491.0	6491.0
eN_3	0.009694376072735548	0.009694376072735548	0.009694376072735548	6456.0	6456.0	6456.0
eN_4	0.009445072444514958	0.009445072444514958	0.009445072444514958	6446.0	6446.0	6446.0
eN_5	0.009070661082217237	0.009070661082217237	0.009070661082217237	6361.0	6361.0	6361.0
eN_6	0.008546908048049017	0.008546908048049017	0.008546908048049017	6330.0	6330.0	6330.0
eN_7	0.008769469665718666	0.008769469665718666	0.008769469665718666	6281.0	6281.0	6281.0
eN_8	0.008391763507750822	0.008391763507750822	0.008391763507750822	6271.0	6271.0	6271.0
eN_9	0.008199763468490202	0.008199763468490202	0.008199763468490202	6209.0	6209.0	6209.0
eN_10	0.008343587988080823	0.008343587988080823	0.008343587988080823	6152.0	6152.0	6152.0
eN_11	0.008302242215651153	0.008302242215651153	0.008302242215651153	6161.0	6161.0	6161.0
eN_12	0.007997801910147252	0.007997801910147252	0.007997801910147252	6164.0	6164.0	6164.0
eN_13	0.008126568946619235	0.008126568946619235	0.008126568946619235	6116.0	6116.0	6116.0
eN_14	0.007699953289697782	0.007699953289697782	0.007699953289697782	6088.0	6088.0	6088.0
eN_15	0.007520925084313059	0.007520925084313059	0.007520925084313059	6060.0	6060.0	6060.0
eN_16	0.008018159864813943	0.008018159864813943	0.008018159864813943	6027.0	6027.0	6027.0
eN_17	0.007764367852872397	0.007764367852872397	0.007764367852872397	6008.0	6008.0	6008.0
eN_18	0.007554341913119867	0.007554341913119867	0.007554341913119867	6001.0	6001.0	6001.0
eN_19	0.007667695593966327	0.007667695593966327	0.007667695593966327	5844.0	5844.0	5844.0
eN_20	0.007424109180476072	0.007424109180476072	0.007424109180476072	6012.0	6012.0	6012.0
dw_1	0.010203546609730546	0.010203546609730546	0.010203546609730546	7039.0	7039.0	7039.0
dw_2	0.010631349466299478	0.010631349466299478	0.010631349466299478	7334.0	7334.0	7334.0
dw_3	0.010710126695918334	0.010710126695918334	0.010710126695918334	7440.0	7440.0	7440.0
dw_4	0.010629950157913046	0.010629950157913046	0.010629950157913046	7648.0	7648.0	7648.0
dw_5	0.011146862663200566	0.011146862663200566	0.011146862663200566	7773.0	7773.0	7773.0
dw_6	0.011407799063978132	0.011407799063978132	0.011407799063978132	7831.0	7831.0	7831.0
dw_7	0.011562683706287906	0.011562683706287906	0.011562683706287906	7974.0	7974.0	7974.0
dw_8	0.012528216257514432	0.012528216257514432	0.012528216257514432	8096.0	8096.0	8096.0
dw_9	0.012607038711356546	0.012607038711356546	0.012607038711356546	8129.0	8129.0	8129.0
dw_10	0.013371174535561522	0.013371174535561522	0.013371174535561522	8145.0	8145.0	8145.0
dw_11	0.013711770278783087	0.013711770278783087	0.013711770278783087	8096.0	8096.0	8096.0
dw_12	0.014401690548655269	0.014401690548655269	0.014401690548655269	8113.0	8113.0	8113.0
dw_13	0.01485117372758714	0.01485117372758714	0.01485117372758714	8182.0	8182.0	8182.0
dw_14	0.01518735728396294	0.01518735728396294	0.01518735728396294	8180.0	8180.0	8180.0
dw_15	0.016992937396926682	0.016992937396926682	0.016992937396926682	8202.0	8202.0	8202.0
dw_16	0.018263514362211845	0.018263514362211845	0.018263514362211845	8156.0	8156.0	8156.0
dw_17	0.018221912784449176	0.018221912784449176	0.018221912784449176	8157.0	8157.0	8157.0
dw_18	0.019383288445871314	0.019383288445871314	0.019383288445871314	8239.0	8239.0	8239.0
dw_19	0.020910114375818925	0.020910114375818925	0.020910114375818925	8219.0	8219.0	8219.0
dw_20	0.02165919803348954	0.02165919803348954	0.02165919803348954	8243.0	8243.0	8243.0
